 SDTrimSP: VERSION 6.01    28.09.2022
Argon on Wolfram                                                                
           1       number species of projectiles
 DEPTH DISTRIBUTIONS (PROJECTILES), COMPONENT(1): Ar   
          10        100000.     50.000          number of depth ,nproj,e_tot [MeV]
         [A]    [number]    [number]       [MeV]       [MeV]       [MeV]       [MeV]    [number]    [number]    [number]
DEPTH/LENGTH       STOPS  PATHLENGTH   NUCL.LOSS  ELECT.LOSS NUC.LOSS<ED NUC.LOSS>ED  FRENKEL P.  NUM.COLL.      NRT-DPA
  5.0000E+00  3.0702E+04  0.0000E+00  2.9306E+01  4.2724E+00  7.2109E+00  2.1456E+01  2.5546E+05  0.0000E+00  2.2788E+05
  1.5000E+01  2.6078E+04  2.7200E+02  8.2487E+00  1.1795E+00  3.1348E+00  4.7752E+00  6.3849E+04  0.0000E+00  5.4828E+04
  2.5000E+01  5.7250E+03  1.1463E+04  9.6770E-01  1.3560E-01  4.8970E-01  4.1910E-01  6.3431E+03  0.0000E+00  5.1632E+03
  3.5000E+01  5.5600E+02  2.9143E+04  6.1166E-02  8.4180E-03  3.6351E-02  1.9924E-02  3.2530E+02  0.0000E+00  2.4258E+02
  4.5000E+01  2.7000E+01  1.7759E+04  1.7805E-03  2.5436E-04  1.2430E-03  3.5007E-04  6.0639E+00  0.0000E+00  4.0276E+00
  5.5000E+01  1.0000E+00  4.0570E+03  2.8503E-05  5.1003E-06  2.1515E-05  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  6.5000E+01  0.0000E+00  3.8200E+02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  7.5000E+01  0.0000E+00  1.3000E+01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  8.5000E+01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  9.5000E+01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.0000E+00  6.3089E+04  6.3089E+04  3.8586E+01  5.5962E+00  1.0873E+01  2.6671E+01  3.2598E+05  0.0000E+00  2.8811E+05
