SDTrimSP: VERSION 6.01    28.09.2022
Argon on Wolfram                                                                
          10   maxnumber (stopped-projectile)          
        1000         100   NH NR
      species     gen/coll      fluence   end-energy      x_start      y_start      z_start        x_end        y_end        z_end        x_max        y_max        z_max         cosp         cosa   pathlength e_transf_sum     e_transf   e_con_elec  e_transf>ED         time
            1           16  0.10000E-02  0.93331E-01 -0.42523E+01  0.00000E+00  0.00000E+00  0.92497E+01  0.14587E+02 -0.12225E+02  0.93189E+01  0.14587E+02  0.13454E+02  0.00000E+00  0.00000E+00  0.33773E+02  0.43558E+03  0.42369E+03  0.64328E+02  0.33142E+03  0.22160E+03
            1           16  0.10000E-02  0.94650E-01 -0.42523E+01  0.00000E+00  0.00000E+00  0.90947E+01 -0.12681E+02 -0.51100E+00  0.10735E+02  0.12681E+02  0.39089E+01  0.00000E+00  0.00000E+00  0.30002E+02  0.44545E+03  0.43313E+03  0.54460E+02  0.29895E+03  0.23305E+03
            1           24  0.10000E-02  0.48572E-16 -0.42523E+01  0.00000E+00  0.00000E+00  0.27065E+02 -0.63927E+01  0.12397E+02  0.27065E+02  0.11949E+02  0.13776E+02  0.00000E+00  0.00000E+00  0.50584E+02  0.39963E+03  0.38045E+03  0.10037E+03  0.18058E+03  0.33459E+03
            1           25  0.10000E-02  0.63830E-01 -0.42523E+01  0.00000E+00  0.00000E+00  0.20658E+02 -0.15339E+02 -0.62443E+00  0.21425E+02  0.16794E+02  0.94987E+01  0.00000E+00  0.00000E+00  0.53305E+02  0.39687E+03  0.37524E+03  0.10307E+03  0.11691E+03  0.29328E+03
            1           19  0.10000E-02  0.24286E-16 -0.42523E+01  0.00000E+00  0.00000E+00  0.81100E+01 -0.19664E+00 -0.85757E+01  0.10810E+02  0.29695E+01  0.13400E+02  0.00000E+00  0.00000E+00  0.38962E+02  0.42876E+03  0.41049E+03  0.71235E+02  0.18876E+03  0.28126E+03
            1           14  0.10000E-02  0.20817E-16 -0.42523E+01  0.00000E+00  0.00000E+00  0.44370E+01  0.41911E+01 -0.41015E+01  0.46063E+01  0.64157E+01  0.69117E+01  0.00000E+00  0.00000E+00  0.26355E+02  0.44797E+03  0.43791E+03  0.52032E+02  0.30645E+03  0.29533E+03
            1           15  0.10000E-02  0.40255E-01 -0.42523E+01  0.00000E+00  0.00000E+00  0.97521E+01 -0.32844E+01 -0.32890E+00  0.11632E+02  0.62565E+01  0.40808E+01  0.00000E+00  0.00000E+00  0.30239E+02  0.44927E+03  0.43283E+03  0.50695E+02  0.29323E+03  0.25474E+03
            1           15  0.10000E-02  0.00000E+00 -0.42523E+01  0.00000E+00  0.00000E+00  0.88941E+01 -0.18664E+01  0.62319E+01  0.94344E+01  0.37249E+01  0.81987E+01  0.00000E+00  0.00000E+00  0.31607E+02  0.44544E+03  0.43100E+03  0.54563E+02  0.32034E+03  0.27728E+03
            1           16  0.10000E-02  0.34166E-01 -0.42523E+01  0.00000E+00  0.00000E+00  0.91938E+01  0.67913E+01 -0.78757E+01  0.12717E+02  0.72330E+01  0.86440E+01  0.00000E+00  0.00000E+00  0.30209E+02  0.44853E+03  0.43907E+03  0.51436E+02  0.33391E+03  0.28537E+03
            1           15  0.10000E-02  0.13878E-16 -0.42523E+01  0.00000E+00  0.00000E+00  0.82257E+01  0.19070E+01 -0.11047E+00  0.10309E+02  0.79072E+01  0.21004E+01  0.00000E+00  0.00000E+00  0.29741E+02  0.44283E+03  0.42593E+03  0.57173E+02  0.28704E+03  0.26574E+03
 ende
          10   number particle from SDTrimSP
