SDTrimSP: VERSION 6.01    28.09.2022
Argon on Wolfram                                                                
          10   maxnumber (stopped-recoil E(start)>ED)  
        1000         100   NH NR
      species     gen/coll      fluence start-energy      x_start      y_start      z_start        x_end        y_end        z_end        x_max        y_max        z_max         cosp         cosa   pathlength e_transf_sum     e_transf   e_con_elec  e_transf>ED         time
            2            1  0.10000E-02  0.11225E+03  0.70836E+00  0.65440E-01 -0.58076E+00  0.66724E+01 -0.12543E+01 -0.70204E+01  0.59641E+01  0.13197E+01  0.64397E+01  0.00000E+00  0.00000E+00  0.10299E+02  0.10140E+03  0.81248E+02  0.10851E+02  0.00000E+00  0.22089E+03
            2            1  0.10000E-02  0.11570E+03  0.24136E+01 -0.43480E+01 -0.11237E+00  0.51711E+01 -0.71698E+01 -0.17477E+01  0.27575E+01  0.28217E+01  0.16353E+01  0.00000E+00  0.00000E+00  0.53210E+01  0.11035E+03  0.10346E+03  0.47968E+01  0.88705E+02  0.16785E+03
            2            1  0.10000E-02  0.11169E+03  0.10828E+01  0.32387E+00  0.48836E+00  0.50317E+01 -0.52888E+00  0.30871E+01  0.39489E+01  0.85275E+00  0.25987E+01  0.00000E+00  0.00000E+00  0.53272E+01  0.10673E+03  0.98165E+02  0.49607E+01  0.80944E+02  0.13053E+03
            2            1  0.10000E-02  0.93924E+02  0.23099E+01 -0.32687E+00 -0.18265E+01  0.84766E+01  0.11194E+01 -0.20046E+01  0.61667E+01  0.14462E+01  0.72376E+00  0.00000E+00  0.00000E+00  0.77239E+01  0.86708E+02  0.77128E+02  0.72162E+01  0.40568E+02  0.16494E+03
            2            1  0.10000E-02  0.11855E+03  0.17141E+01  0.21347E+00  0.52564E+00  0.78768E+01  0.58988E+01  0.46089E+01  0.61628E+01  0.57265E+01  0.40833E+01  0.00000E+00  0.00000E+00  0.10752E+02  0.10685E+03  0.80860E+02  0.10751E+02  0.40556E+02  0.21818E+03
            2            1  0.10000E-02  0.40338E+02  0.34799E+01  0.92310E+01 -0.58557E+01  0.90053E+00  0.11943E+02 -0.52662E+01  0.25794E+01  0.27117E+01  0.58949E+00  0.00000E+00  0.00000E+00  0.43321E+01  0.36899E+02  0.33574E+02  0.22453E+01  0.00000E+00  0.21774E+03
            2            1  0.10000E-02  0.47848E+02  0.69763E+01  0.96074E+01 -0.65673E+01  0.11655E+02  0.95515E+01 -0.76298E+00  0.49609E+01  0.22205E+00  0.58043E+01  0.00000E+00  0.00000E+00  0.84313E+01  0.41131E+02  0.28797E+02  0.61929E+01  0.00000E+00  0.24563E+03
            2            1  0.10000E-02  0.81751E+02  0.90107E+01  0.10445E+02 -0.13391E+02  0.14252E+02  0.94016E+01 -0.17794E+02  0.52415E+01  0.10431E+01  0.44029E+01  0.00000E+00  0.00000E+00  0.76451E+01  0.75027E+02  0.58622E+02  0.67241E+01  0.00000E+00  0.23876E+03
            2            1  0.10000E-02  0.42931E+02  0.72434E+01  0.83240E+01 -0.12987E+02  0.77846E+01  0.54177E+01 -0.12252E+02  0.59704E+00  0.29063E+01  0.73537E+00  0.00000E+00  0.00000E+00  0.35250E+01  0.40033E+02  0.32264E+02  0.28980E+01  0.00000E+00  0.14367E+03
            2            1  0.10000E-02  0.46759E+02  0.49536E+01 -0.35446E+00 -0.27489E+01  0.53262E+01  0.63338E+00 -0.34928E+01  0.37257E+00  0.98784E+00  0.74385E+00  0.00000E+00  0.00000E+00  0.12915E+01  0.45410E+02  0.46500E+02  0.13492E+01  0.46500E+02  0.33711E+02
 ende
          10   number particle from SDTrimSP
