 SDTrimSP: VERSION 6.01    28.09.2022
H_Ar_on_Fe_W_60deg                                                              
           2       number species of projectiles
 DEPTH DISTRIBUTIONS (PROJECTILES), COMPONENT(1): H    
          62         25001.     12.500          number of depth ,nproj,e_tot [MeV]
         [A]    [number]    [number]       [MeV]       [MeV]       [MeV]       [MeV]    [number]    [number]    [number]
DEPTH/LENGTH       STOPS  PATHLENGTH   NUCL.LOSS  ELECT.LOSS NUC.LOSS<ED NUC.LOSS>ED  FRENKEL P.  NUM.COLL.      NRT-DPA
  5.0000E+00  1.1400E+02  0.0000E+00  2.1617E-01  1.2870E+00  1.8096E-01  3.4741E-02  6.5500E+02  0.0000E+00  2.7500E+02
  1.5000E+01  4.0500E+02  0.0000E+00  1.6530E-01  9.0341E-01  1.4475E-01  1.9861E-02  2.8600E+02  0.0000E+00  9.8000E+01
  2.5000E+01  5.3500E+02  0.0000E+00  1.3785E-01  7.0100E-01  1.2463E-01  1.2395E-02  1.5800E+02  0.0000E+00  3.3000E+01
  3.5000E+01  6.7600E+02  0.0000E+00  1.2081E-01  5.7840E-01  1.1133E-01  8.5459E-03  8.0000E+01  0.0000E+00  1.2000E+01
  4.5000E+01  7.2800E+02  0.0000E+00  1.0320E-01  4.7629E-01  9.6076E-02  6.1297E-03  5.5000E+01  0.0000E+00  2.0000E+00
  5.5000E+01  7.5700E+02  0.0000E+00  8.8443E-02  3.9269E-01  8.4099E-02  3.3614E-03  1.4000E+01  0.0000E+00  1.0000E+00
  6.5000E+01  7.9600E+02  0.0000E+00  7.3361E-02  3.1406E-01  7.0009E-02  2.3989E-03  1.0000E+01  0.0000E+00  0.0000E+00
  7.5000E+01  7.1500E+02  0.0000E+00  6.0990E-02  2.5389E-01  5.8941E-02  1.1855E-03  4.0000E+00  0.0000E+00  0.0000E+00
  8.5000E+01  6.7300E+02  0.0000E+00  4.9799E-02  1.9828E-01  4.8049E-02  9.4985E-04  3.0000E+00  0.0000E+00  0.0000E+00
  9.5000E+01  6.1900E+02  0.0000E+00  3.9620E-02  1.5174E-01  3.8608E-02  2.8051E-04  0.0000E+00  0.0000E+00  0.0000E+00
  1.0500E+02  5.6300E+02  0.0000E+00  3.1010E-02  1.1507E-01  3.0203E-02  1.8931E-04  0.0000E+00  0.0000E+00  0.0000E+00
  1.1500E+02  4.4800E+02  0.0000E+00  2.3626E-02  8.4140E-02  2.3055E-02  5.4019E-05  0.0000E+00  0.0000E+00  0.0000E+00
  1.2500E+02  3.5500E+02  0.0000E+00  1.6895E-02  5.9610E-02  1.6467E-02  3.4666E-05  0.0000E+00  0.0000E+00  0.0000E+00
  1.3500E+02  3.2400E+02  0.0000E+00  1.2207E-02  4.1908E-02  1.1861E-02  1.7219E-05  0.0000E+00  0.0000E+00  0.0000E+00
  1.4500E+02  2.2900E+02  0.0000E+00  8.6974E-03  2.9044E-02  8.4577E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  1.5500E+02  1.7200E+02  0.0000E+00  5.6780E-03  1.8308E-02  5.4868E-03  1.7374E-05  0.0000E+00  0.0000E+00  0.0000E+00
  1.6500E+02  1.1800E+02  0.0000E+00  3.4933E-03  1.1192E-02  3.3735E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  1.7500E+02  9.0000E+01  0.0000E+00  2.1049E-03  6.6350E-03  2.0234E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  1.8500E+02  5.4000E+01  0.0000E+00  1.3167E-03  3.9202E-03  1.2647E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  1.9500E+02  2.6000E+01  0.0000E+00  6.9560E-04  2.1205E-03  6.7124E-04  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  2.0500E+02  1.5000E+01  0.0000E+00  4.1511E-04  1.2223E-03  3.9836E-04  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  2.1500E+02  9.0000E+00  0.0000E+00  2.2890E-04  6.5174E-04  2.1943E-04  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  2.2500E+02  1.1000E+01  0.0000E+00  1.1065E-04  2.9897E-04  1.0404E-04  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  2.3500E+02  2.0000E+00  0.0000E+00  3.3290E-05  1.0166E-04  3.1152E-05  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  2.4500E+02  2.0000E+00  0.0000E+00  3.8295E-05  9.9315E-05  3.6343E-05  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  2.5500E+02  1.0000E+00  0.0000E+00  1.0492E-05  3.8018E-05  9.5245E-06  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  2.6500E+02  2.0000E+00  0.0000E+00  2.3362E-05  4.6343E-05  2.2098E-05  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  2.7500E+02  0.0000E+00  0.0000E+00  6.5550E-07  1.2848E-06  5.8995E-07  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  2.8500E+02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  2.9500E+02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  3.0500E+02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  3.1500E+02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  3.2500E+02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  3.3500E+02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  3.4500E+02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  3.5500E+02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  3.6500E+02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  3.7500E+02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  3.8500E+02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  3.9500E+02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  4.0500E+02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  4.1500E+02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  4.2500E+02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  4.3500E+02  0.0000E+00  3.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  4.4500E+02  0.0000E+00  5.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  4.5500E+02  0.0000E+00  3.3000E+01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  4.6500E+02  0.0000E+00  1.2000E+02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  4.7500E+02  0.0000E+00  2.7700E+02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  4.8500E+02  0.0000E+00  5.8300E+02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  4.9500E+02  0.0000E+00  1.0610E+03  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  5.0500E+02  0.0000E+00  1.4400E+03  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  5.1500E+02  0.0000E+00  1.6870E+03  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  5.2500E+02  0.0000E+00  1.4420E+03  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  5.3500E+02  0.0000E+00  9.8200E+02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  5.4500E+02  0.0000E+00  5.4300E+02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  5.5500E+02  0.0000E+00  2.0100E+02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  5.6500E+02  0.0000E+00  4.9000E+01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  5.7500E+02  0.0000E+00  1.2000E+01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  5.8500E+02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
