SDTrimSP: VERSION 6.01    28.09.2022
H_Ar_on_Fe_W_60deg                                                              
          10   maxnumber (stopped-projectile)          
         500         100   NH NR
      species     gen/coll      fluence   end-energy      x_start      y_start      z_start        x_end        y_end        z_end        x_max        y_max        z_max         cosp         cosa   pathlength e_transf_sum     e_transf   e_con_elec  e_transf>ED         time
            2           12  0.20000E-02  0.27756E-16 -0.40615E+01  0.00000E+00  0.00000E+00  0.65357E+01  0.23513E+02 -0.22278E+01  0.67435E+01  0.24416E+02  0.34000E+01  0.00000E+00  0.00000E+00  0.23693E+02  0.44743E+03  0.41766E+03  0.52574E+02  0.35379E+03  0.15846E+03
            1          226  0.20000E-02  0.88291E+00 -0.40615E+01  0.00000E+00  0.00000E+00  0.44446E+02 -0.41752E+02  0.72887E+02  0.66455E+02  0.61742E+02  0.10747E+03  0.00000E+00  0.00000E+00  0.51901E+03  0.91428E+02  0.90315E+02  0.40879E+03  0.24798E+02  0.54746E+03
            2           16  0.20000E-02  0.38858E-15 -0.40615E+01  0.00000E+00  0.00000E+00  0.22215E+02  0.17615E+02  0.16462E+02  0.22215E+02  0.18674E+02  0.16486E+02  0.00000E+00  0.00000E+00  0.36185E+02  0.42684E+03  0.38150E+03  0.73161E+02  0.27190E+03  0.15963E+03
            2            9  0.20000E-02  0.48572E-16 -0.40615E+01  0.00000E+00  0.00000E+00  0.22081E+01  0.11885E+02 -0.43460E+01  0.45115E+01  0.13555E+02  0.43460E+01  0.00000E+00  0.00000E+00  0.16538E+02  0.46179E+03  0.44626E+03  0.38213E+02  0.40541E+03  0.91547E+02
            1          228  0.20000E-02  0.99963E+00 -0.40615E+01  0.00000E+00  0.00000E+00  0.74832E+02  0.14546E+02  0.15518E+02  0.92953E+02  0.51668E+02  0.94909E+02  0.00000E+00  0.00000E+00  0.52612E+03  0.79802E+02  0.78585E+02  0.42030E+03  0.00000E+00  0.55078E+03
            1          222  0.20000E-02  0.85841E+00 -0.40615E+01  0.00000E+00  0.00000E+00  0.27503E+02  0.71274E+02 -0.13290E+03  0.45922E+02  0.76879E+02  0.15740E+03  0.00000E+00  0.00000E+00  0.51003E+03  0.94089E+02  0.93029E+02  0.40615E+03  0.00000E+00  0.56434E+03
            2            8  0.20000E-02  0.61556E-01 -0.40615E+01  0.00000E+00  0.00000E+00  0.67338E+01  0.91072E+01  0.65270E+01  0.67669E+01  0.93651E+01  0.71264E+01  0.00000E+00  0.00000E+00  0.14533E+02  0.47522E+03  0.45264E+03  0.24722E+02  0.42237E+03  0.10485E+03
            2            7  0.20000E-02  0.11102E-15 -0.40615E+01  0.00000E+00  0.00000E+00  0.60848E+01  0.11924E+02 -0.35800E+01  0.65069E+01  0.13128E+02  0.35800E+01  0.00000E+00  0.00000E+00  0.12929E+02  0.46596E+03  0.45586E+03  0.34040E+02  0.42441E+03  0.73527E+02
            2           14  0.20000E-02  0.00000E+00 -0.40615E+01  0.00000E+00  0.00000E+00  0.10085E+02  0.28236E+02  0.17751E+01  0.10085E+02  0.28236E+02  0.30884E+01  0.00000E+00  0.00000E+00  0.27534E+02  0.43183E+03  0.41509E+03  0.68172E+02  0.28191E+03  0.13746E+03
            1          228  0.20000E-02  0.93588E+00 -0.40615E+01  0.00000E+00  0.00000E+00  0.17318E+03  0.68535E+02  0.45606E+01  0.18692E+03  0.84107E+02  0.35631E+02  0.00000E+00  0.00000E+00  0.52580E+03  0.72667E+02  0.71544E+02  0.42750E+03  0.00000E+00  0.53869E+03
 ende
          10   number particle from SDTrimSP
