SDTrimSP: VERSION 6.01    28.09.2022
H_Ar_on_Fe_W_60deg                                                              
          10   maxnumber (stopped-recoil E(start)>ED)  
         500         100   NH NR
      species     gen/coll      fluence start-energy      x_start      y_start      z_start        x_end        y_end        z_end        x_max        y_max        z_max         cosp         cosa   pathlength e_transf_sum     e_transf   e_con_elec  e_transf>ED         time
            3            1  0.20000E-02  0.21182E+02  0.84527E+02  0.21881E+02 -0.23954E+01  0.85205E+02  0.24224E+02 -0.28866E+01  0.12093E+01  0.23438E+01  0.49113E+00  0.00000E+00  0.00000E+00  0.30790E+01  0.19661E+02  0.14146E+02  0.15213E+01  0.00000E+00  0.79694E+02
            4            1  0.20000E-02  0.71443E+02  0.64914E+00  0.65071E+01  0.18869E+00  0.19884E+01  0.65183E+01  0.50627E+00  0.13393E+01  0.11220E-01  0.31757E+00  0.00000E+00  0.00000E+00  0.13765E+01  0.66742E+02  0.53532E+02  0.17554E+01  0.53532E+02  0.15994E+02
            4            1  0.20000E-02  0.28425E+03  0.10714E+01  0.87305E+01 -0.26292E-01  0.33356E+01  0.14076E+02 -0.79029E+00  0.22642E+01  0.53451E+01  0.76400E+00  0.00000E+00  0.00000E+00  0.59707E+01  0.27468E+03  0.25601E+03  0.95637E+01  0.25601E+03  0.63350E+02
            3            1  0.20000E-02  0.30899E+02  0.21134E+01  0.89634E+01  0.14919E+01  0.13462E+01  0.91080E+01  0.43719E+01  0.76716E+00  0.61412E+00  0.33129E+01  0.00000E+00  0.00000E+00  0.51541E+01  0.25991E+02  0.20625E+02  0.26166E+01  0.00000E+00  0.86930E+02
            3            1  0.20000E-02  0.22867E+03  0.46246E+01  0.18335E+02  0.12566E+01  0.48157E+01  0.27224E+02  0.45597E+01  0.93436E+00  0.88888E+01  0.56441E+01  0.00000E+00  0.00000E+00  0.14189E+02  0.20800E+03  0.18952E+03  0.18609E+02  0.13260E+03  0.13855E+03
            4            1  0.20000E-02  0.54174E+02  0.73042E+01  0.19582E+02 -0.25973E+01  0.10032E+02  0.19901E+02 -0.47695E+01  0.27282E+01  0.31831E+00  0.21722E+01  0.00000E+00  0.00000E+00  0.35838E+01  0.51176E+02  0.40468E+02  0.29034E+01  0.24650E+02  0.11046E+03
            3            1  0.20000E-02  0.40045E+02  0.52675E+01  0.21240E+02 -0.14400E+01  0.53225E+01  0.22640E+02  0.33518E+00  0.72980E+00  0.13998E+01  0.17751E+01  0.00000E+00  0.00000E+00  0.27910E+01  0.38550E+02  0.33935E+02  0.14952E+01  0.31639E+02  0.10788E+03
            3            1  0.20000E-02  0.24798E+02  0.14931E+02  0.28055E+02  0.47347E+00  0.15875E+02  0.30603E+02 -0.12980E+01  0.94388E+00  0.25485E+01  0.17715E+01  0.00000E+00  0.00000E+00  0.33293E+01  0.22158E+02  0.17448E+02  0.16942E+01  0.00000E+00  0.56385E+02
            4            1  0.20000E-02  0.93228E+02  0.13066E+01  0.85592E+01 -0.64455E+00  0.44058E+01  0.12666E+02 -0.57584E+01  0.35307E+01  0.41072E+01  0.51138E+01  0.00000E+00  0.00000E+00  0.79108E+01  0.86610E+02  0.69566E+02  0.66176E+01  0.54754E+02  0.16061E+03
            4            1  0.20000E-02  0.56147E+02  0.75708E+00  0.10656E+02  0.12390E+01  0.16080E+01  0.11413E+02  0.17323E+01  0.85090E+00  0.75726E+00  0.49330E+00  0.00000E+00  0.00000E+00  0.12413E+01  0.54936E+02  0.52710E+02  0.12111E+01  0.52710E+02  0.25917E+02
 ende
          10   number particle from SDTrimSP
