 cpt#    psproj# nr.coll energy       directional cosines x,y,z                        emission site x,y,z
                         (eV)                                                          (Angs)
   1           1    3    0.2470E+03  -0.41053927E+00 -0.56951618E+00  0.71211571E+00  -0.219894E+01 -0.729055E+01  0.929072E+01
   1           3   10    0.6092E+02  -0.71853846E+00  0.50747925E+00 -0.47557032E+00  -0.251666E+01 -0.470457E+01 -0.118767E+02
   1           7    8    0.2433E+02  -0.67716140E+00 -0.66857278E-01 -0.73279089E+00  -0.246191E+01 -0.149337E+01 -0.285337E+01
   1           9   15    0.9909E+02  -0.83534360E+00  0.53106701E+00 -0.14201695E+00  -0.242274E+01 -0.296238E+01 -0.627820E+01
   1          11    7    0.2055E+03  -0.89415103E+00 -0.10908851E+00 -0.43427351E+00  -0.835219E+00 -0.127921E+02 -0.239229E+01
   1          12   10    0.1190E+03  -0.99943572E+00 -0.29261115E-02  0.33459727E-01  -0.181113E+01  0.250056E+01  0.816489E+01
   1          17    6    0.5896E+02  -0.64749974E+00 -0.59221131E+00  0.47961420E+00  -0.214141E+01 -0.104991E+02  0.392570E+01
   1          20   10    0.9524E+02  -0.80573171E+00 -0.12140573E-02 -0.59227949E+00  -0.275005E+01  0.427275E+01 -0.240977E+01
   1          23   10    0.6935E+02  -0.65646547E+00 -0.74151897E+00  0.13857369E+00  -0.275064E+01 -0.158335E+02 -0.121399E+02
   1          24    3    0.2950E+03  -0.56335866E+00 -0.71951531E-01  0.82307345E+00  -0.144469E+01  0.176870E+00  0.809491E+01
   1          28   10    0.1145E+03  -0.99145806E+00  0.10613620E+00 -0.75802177E-01  -0.274841E+01 -0.707719E+01  0.439828E+00
   1          30   11    0.4321E+02  -0.63516718E+00  0.55884963E+00  0.53315061E+00  -0.209821E+01  0.103288E+02 -0.409112E+01
   1          31   13    0.4948E+02  -0.95706236E+00 -0.14244474E+00  0.25247011E+00  -0.904144E+00  0.192418E+01  0.122855E+02
   1          34    9    0.1705E+02  -0.64262354E+00  0.75454360E+00  0.13303697E+00  -0.157328E+01  0.207372E+01  0.378266E+01
   1          40    4    0.1968E+03  -0.97199994E+00  0.19525100E+00  0.13074073E+00  -0.244580E+01 -0.224624E+01 -0.667359E+00
   1          42    2    0.2350E+03  -0.80166566E+00 -0.15260683E+00  0.57796472E+00  -0.259474E+01  0.137480E+00  0.471657E+01
   1          43    5    0.2683E+03  -0.92038709E+00 -0.89313917E-01  0.38067123E+00  -0.237035E+01 -0.386310E+01  0.934041E+01
   1          45   15    0.1680E+02  -0.55805415E+00  0.73207098E+00  0.39070120E+00  -0.174112E+01 -0.457256E+01  0.321922E+01
   1          46   13    0.1127E+03  -0.98382229E+00 -0.77342138E-01 -0.16159135E+00  -0.115055E+01  0.713103E+01  0.103984E+02
   1          48    3    0.3063E+03  -0.39496151E+00  0.87347800E+00  0.28467825E+00  -0.187802E+01  0.115452E+02  0.185230E+01
   1          49    7    0.1071E+03  -0.88803029E+00 -0.38818797E+00 -0.24639834E+00  -0.176800E+01  0.664785E+01  0.194270E+01
   1          52    2    0.2349E+03  -0.53025049E+00  0.27304909E+00  0.80266958E+00  -0.194482E+01  0.174643E+01  0.418066E+01
   1          55    7    0.1081E+03  -0.71839899E+00 -0.46571940E+00  0.51672840E+00  -0.279184E+01 -0.111136E+02  0.580220E+00
   1          56    7    0.1526E+03  -0.63786870E+00 -0.46910423E+00 -0.61079019E+00  -0.229604E+01 -0.118726E+02 -0.754163E+01
   1          59   12    0.2297E+02  -0.94910669E+00  0.21686056E+00  0.22840318E+00  -0.618007E+00 -0.561240E+01  0.121522E+02
   1          61   20    0.1121E+02  -0.95130104E+00 -0.25884315E+00 -0.16741106E+00  -0.595106E+00  0.324780E+02 -0.476770E+01
   1          62   13    0.2953E+02  -0.83579880E+00 -0.54536825E+00  0.63353769E-01  -0.208735E+01 -0.118977E+02  0.161324E+01
   1          66    7    0.1418E+03  -0.69162291E+00  0.71008706E+00 -0.13203838E+00  -0.176104E+01  0.125969E+02 -0.601488E+00
   1          68   15    0.2645E+02  -0.59795690E+00 -0.39785296E+00  0.69581640E+00  -0.204598E+01 -0.525137E+01 -0.146460E+02
   1          73    9    0.5460E+02  -0.85376811E+00 -0.52005482E+00  0.24960402E-01  -0.116324E+01 -0.339044E+01  0.241288E+01
   1          74    5    0.7124E+02  -0.95154136E+00 -0.12279671E+00  0.28193942E+00  -0.189835E+01 -0.894337E+00  0.430310E+01
   1          75    5    0.1126E+03  -0.89532876E+00  0.42454490E+00 -0.13471486E+00  -0.414474E+00  0.532516E+01  0.228942E+01
   1          79    3    0.2550E+03  -0.89482605E+00 -0.35972965E+00  0.26434979E+00  -0.161020E+01 -0.427199E+01  0.164256E+01
   1          80   12    0.4209E+02  -0.87357163E+00 -0.47380793E+00  0.11125819E+00  -0.253211E+01 -0.136247E+02 -0.834459E+01
   1          81    6    0.2143E+03  -0.83687627E+00  0.54058945E+00  0.86029224E-01  -0.138449E+01  0.865159E+01  0.305529E+01
   1          82   16    0.3835E+02  -0.88108397E+00  0.43933257E+00  0.17515093E+00  -0.759399E+00  0.148854E+02  0.179628E+02
   1          90   12    0.5399E+02  -0.81160820E+00  0.28560802E+00  0.50962734E+00  -0.265230E+01 -0.107446E+02  0.103217E+02
   1          92   10    0.6782E+02  -0.75856543E+00 -0.58673489E+00  0.28340909E+00  -0.136206E+01  0.356851E+01  0.116953E+02
   1          95    3    0.9518E+02  -0.65447950E+00 -0.48198944E+00 -0.58253127E+00  -0.220266E+01 -0.622074E+01 -0.141846E+01
   1          97    3    0.2691E+03  -0.67004144E+00  0.44011991E-01 -0.74101776E+00  -0.211452E+01 -0.364722E+00 -0.848297E+01
   1          98    2    0.1699E+03  -0.59876078E+00  0.77405441E+00  0.20573081E+00  -0.274801E+01  0.816486E+01  0.162650E+01
   1          99    4    0.2804E+03  -0.29517731E+00  0.91324019E+00  0.28082490E+00  -0.255175E+01  0.170382E+02  0.350033E+01
   1         101    6    0.8929E+02  -0.69554311E+00 -0.45927548E+00 -0.55252671E+00  -0.196955E+01 -0.245528E+01 -0.529357E+01
   1         116   10    0.7442E+02  -0.86304826E+00  0.42332280E+00  0.27558237E+00  -0.134619E+01  0.167855E+01 -0.229679E+01
   1         117    2    0.1373E+03  -0.75284564E+00  0.29680976E+00  0.58747542E+00  -0.221731E+01 -0.119487E+00  0.402261E+01
   1         121   19    0.1635E+02  -0.90294051E+00  0.41300929E+00  0.11883415E+00  -0.268903E+01 -0.107367E+02  0.947941E+01
