   depth     nuclear energy deposition by components per projectile and depth interval
   Angs      eV/Angs
 0.5000E+01  0.2241E+01 0.1383E+02
 0.1500E+02  0.1521E+01 0.1084E+02
 0.2500E+02  0.4326E+00 0.2705E+01
 0.3500E+02  0.6701E-01 0.3440E+00
 0.4500E+02  0.5494E-02 0.2521E-01
 0.5500E+02  0.2265E-03 0.8495E-03
 0.6500E+02  0.1229E-04 0.1246E-04
 0.7500E+02  0.0000E+00 0.0000E+00
 0.8500E+02  0.0000E+00 0.0000E+00
 0.9500E+02  0.0000E+00 0.0000E+00
 0.1050E+03  0.0000E+00 0.0000E+00
 0.1150E+03  0.0000E+00 0.0000E+00
 0.1250E+03  0.0000E+00 0.0000E+00
 0.1350E+03  0.0000E+00 0.0000E+00
 0.1450E+03  0.0000E+00 0.0000E+00
 0.1550E+03  0.0000E+00 0.0000E+00
 0.1650E+03  0.0000E+00 0.0000E+00
 0.1750E+03  0.0000E+00 0.0000E+00
 0.1850E+03  0.0000E+00 0.0000E+00
 0.1950E+03  0.0000E+00 0.0000E+00
 0.2050E+03  0.0000E+00 0.0000E+00
 0.2150E+03  0.0000E+00 0.0000E+00
 0.2250E+03  0.0000E+00 0.0000E+00
 0.2350E+03  0.0000E+00 0.0000E+00
 0.2450E+03  0.0000E+00 0.0000E+00
 0.2550E+03  0.0000E+00 0.0000E+00
 0.2650E+03  0.0000E+00 0.0000E+00
 0.2750E+03  0.0000E+00 0.0000E+00
 0.2850E+03  0.0000E+00 0.0000E+00
 0.2950E+03  0.0000E+00 0.0000E+00
 0.3050E+03  0.0000E+00 0.0000E+00
 0.3150E+03  0.0000E+00 0.0000E+00
 0.3250E+03  0.0000E+00 0.0000E+00
 0.3350E+03  0.0000E+00 0.0000E+00
 0.3450E+03  0.0000E+00 0.0000E+00
 0.3550E+03  0.0000E+00 0.0000E+00
 0.3650E+03  0.0000E+00 0.0000E+00
 0.3750E+03  0.0000E+00 0.0000E+00
 0.3850E+03  0.0000E+00 0.0000E+00
 0.3950E+03  0.0000E+00 0.0000E+00
 0.4050E+03  0.0000E+00 0.0000E+00
