 cpt#    psproj# nr.coll energy       directional cosines x,y,z                        emission site x,y,z
                         (eV)                                                          (Angs)
   2           1    2    0.3624E+03  -0.85961431E+00 -0.46224087E+00 -0.21770693E+00  -0.216044E+01 -0.235524E+02 -0.403905E+01
   1           3  101    0.1517E+03  -0.49139637E+00  0.82283521E+00 -0.28543273E+00  -0.263227E+01 -0.135946E+03 -0.502605E+02
   2           4    2    0.2361E+03  -0.62924612E+00 -0.68670654E+00  0.36398268E+00  -0.130249E+01 -0.974178E+01  0.170738E+01
   1           6    5    0.4617E+03  -0.27508676E+00 -0.78202045E+00  0.55925965E+00  -0.249884E+01 -0.194227E+02  0.110871E+02
   1           7   24    0.4098E+03  -0.28714007E+00 -0.77900767E+00  0.55740255E+00  -0.238596E+01 -0.461287E+02  0.309872E+02
   2          12    5    0.2106E+02  -0.80691314E+00  0.59066200E+00 -0.30592675E-02  -0.215605E+01 -0.884470E+01  0.181148E+01
   2          16    1    0.4376E+03  -0.22756615E+00 -0.93783504E+00 -0.26206678E+00  -0.234545E+01 -0.105464E+02 -0.195182E+01
   2          19    4    0.4139E+03  -0.24538316E+00 -0.70778024E+00 -0.66244560E+00  -0.267820E+01 -0.224708E+02 -0.140226E+02
   2          20    8    0.2470E+03  -0.72787780E+00 -0.68546605E+00 -0.18165914E-01  -0.129618E+01 -0.221535E+02 -0.635823E+01
   2          22   10    0.9111E+02  -0.80071813E+00  0.18189994E+00  0.57075638E+00  -0.193425E+01 -0.133155E+02  0.170332E+02
   2          26    2    0.3332E+03  -0.69289857E+00 -0.60610074E+00 -0.39055520E+00  -0.206527E+01 -0.122229E+02  0.637832E+00
   2          27    2    0.4364E+03  -0.23069373E+00 -0.95560884E+00 -0.18328114E+00  -0.234578E+01 -0.149710E+02 -0.216260E+01
   2          29    9    0.6382E+02  -0.87913114E+00  0.14577425E+00  0.45373821E+00  -0.148889E+01 -0.181580E+02  0.101647E+02
   1          30    3    0.4678E+03  -0.19403645E+00  0.57154810E+00 -0.79729712E+00  -0.238474E+01  0.134920E+01 -0.166454E+02
   1          36   49    0.3135E+03  -0.36868814E+00 -0.45739534E+00 -0.80923325E+00  -0.190566E+01 -0.828545E+02 -0.414001E+02
   1          37    2    0.4593E+03  -0.85939682E+00 -0.40683267E+00  0.30971652E+00  -0.840102E+00 -0.831067E+01  0.544301E+00
   2          38    2    0.3403E+03  -0.63283014E+00 -0.35970768E+00 -0.68566489E+00  -0.170171E+01 -0.113340E+02 -0.323196E+01
   2          43    5    0.2907E+03  -0.31119835E+00 -0.90681827E+00  0.28431711E+00  -0.240567E+01 -0.262098E+02  0.556992E+01
   2          44    2    0.4146E+03  -0.55521911E+00 -0.83044332E+00  0.45777824E-01  -0.184484E+01 -0.110039E+02  0.378068E+00
   1          46   82    0.2079E+03  -0.83733785E+00  0.12842023E+00  0.53138828E+00  -0.112679E+01  0.321823E+02  0.562874E+01
   2          47   11    0.2382E+03  -0.54877704E+00 -0.53849673E+00 -0.63942552E+00  -0.197621E+01 -0.276116E+02  0.629946E+01
   2          48    2    0.3639E+03  -0.75319624E+00 -0.44297349E+00 -0.48628166E+00  -0.124295E+01 -0.966603E+01 -0.147112E+01
