  0.668274E-01 F
   0.9480E-02   0.1052E-01
   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00
  depth        at.density   interstit.  vacancies    atomic fractions of components
  Angs         Angs^-3      dpa         dpa
  0.50000E+01  0.71779E-01  0.20661E+00 0.24239E+00  0.00003 0.00409 0.49351 0.50237
  0.15000E+02  0.72135E-01  0.73125E-01 0.60248E-01  0.00016 0.00220 0.49935 0.49829
  0.25000E+02  0.72377E-01  0.64987E-02 0.45161E-02  0.00036 0.00030 0.49975 0.49959
  0.35000E+02  0.72416E-01  0.14628E-02 0.14352E-02  0.00039 0.00000 0.49982 0.49979
  0.45000E+02  0.72418E-01  0.55262E-03 0.58019E-03  0.00033 0.00000 0.49985 0.49982
  0.55000E+02  0.72416E-01  0.80017E-03 0.82777E-03  0.00036 0.00000 0.49978 0.49986
  0.65000E+02  0.72418E-01  0.60756E-03 0.58006E-03  0.00033 0.00000 0.49985 0.49982
  0.75000E+02  0.72419E-01  0.57972E-03 0.57966E-03  0.00030 0.00000 0.49985 0.49985
  0.85000E+02  0.72422E-01  0.22186E-03 0.22186E-03  0.00025 0.00000 0.49988 0.49988
  0.95000E+02  0.72418E-01  0.83259E-04 0.11077E-03  0.00033 0.00000 0.49982 0.49985
  0.10500E+03  0.72424E-01  0.19281E-03 0.16542E-03  0.00022 0.00000 0.49990 0.49988
  0.11500E+03  0.72418E-01  0.28298E-04 0.28182E-04  0.00033 0.00000 0.49983 0.49983
  0.12500E+03  0.72417E-01  0.11001E-03 0.11001E-03  0.00036 0.00000 0.49982 0.49982
  0.13500E+03  0.72426E-01  0.59342E-06 0.28052E-04  0.00017 0.00000 0.49990 0.49993
  0.14500E+03  0.72429E-01  0.54905E-04 0.55061E-04  0.00011 0.00000 0.49994 0.49994
  0.15500E+03  0.72431E-01  0.82663E-04 0.55216E-04  0.00008 0.00000 0.49997 0.49994
  0.16500E+03  0.72427E-01  0.27938E-04 0.55216E-04  0.00014 0.00000 0.49992 0.49994
  0.17500E+03  0.72431E-01  0.27608E-04 0.34205E-06  0.00008 0.00000 0.49997 0.49994
  0.18500E+03  0.72432E-01  0.17558E-06 0.00000E+00  0.00006 0.00000 0.49997 0.49997
  0.19500E+03  0.72431E-01  0.00000E+00 0.00000E+00  0.00008 0.00000 0.49996 0.49996
  0.20500E+03  0.72433E-01  0.00000E+00 0.00000E+00  0.00003 0.00000 0.49999 0.49999
  0.21500E+03  0.72435E-01  0.00000E+00 0.00000E+00  0.00000 0.00000 0.50000 0.50000
  0.22500E+03  0.72433E-01  0.00000E+00 0.00000E+00  0.00003 0.00000 0.49999 0.49999
  0.23500E+03  0.72435E-01  0.00000E+00 0.00000E+00  0.00000 0.00000 0.50000 0.50000
