  0.394713E+00 F
   0.5460E-01   0.5540E-01
   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00
  depth        at.density   interstit.  vacancies    atomic fractions of components
  Angs         Angs^-3      dpa         dpa
  0.50000E+01  0.69398E-01  0.99488E+00 0.11702E+01  0.00039 0.01949 0.46871 0.51142
  0.15000E+02  0.70698E-01  0.40830E+00 0.34462E+00  0.00095 0.01259 0.49376 0.49270
  0.25000E+02  0.72174E-01  0.47510E-01 0.37030E-01  0.00123 0.00160 0.49960 0.49757
  0.35000E+02  0.72347E-01  0.10218E-01 0.92815E-02  0.00149 0.00011 0.49933 0.49908
  0.45000E+02  0.72345E-01  0.60071E-02 0.58418E-02  0.00185 0.00000 0.49924 0.49891
  0.55000E+02  0.72319E-01  0.48799E-02 0.49068E-02  0.00226 0.00000 0.49878 0.49897
  0.65000E+02  0.72322E-01  0.38911E-02 0.38092E-02  0.00226 0.00000 0.49894 0.49880
  0.75000E+02  0.72335E-01  0.27405E-02 0.26851E-02  0.00199 0.00000 0.49902 0.49899
  0.85000E+02  0.72348E-01  0.22942E-02 0.23206E-02  0.00171 0.00000 0.49913 0.49916
  0.95000E+02  0.72329E-01  0.15289E-02 0.16106E-02  0.00209 0.00000 0.49893 0.49898
  0.10500E+03  0.72340E-01  0.11109E-02 0.10857E-02  0.00188 0.00000 0.49907 0.49905
  0.11500E+03  0.72350E-01  0.61835E-03 0.64459E-03  0.00169 0.00000 0.49914 0.49917
  0.12500E+03  0.72347E-01  0.60634E-03 0.49980E-03  0.00176 0.00000 0.49915 0.49909
  0.13500E+03  0.72366E-01  0.33912E-03 0.33582E-03  0.00136 0.00000 0.49932 0.49932
  0.14500E+03  0.72388E-01  0.22424E-03 0.25094E-03  0.00092 0.00000 0.49952 0.49955
  0.15500E+03  0.72399E-01  0.24738E-03 0.19499E-03  0.00072 0.00000 0.49966 0.49961
  0.16500E+03  0.72393E-01  0.88558E-04 0.11325E-03  0.00082 0.00000 0.49958 0.49960
  0.17500E+03  0.72409E-01  0.10938E-03 0.83792E-04  0.00051 0.00000 0.49976 0.49973
  0.18500E+03  0.72411E-01  0.41093E-05 0.30820E-05  0.00047 0.00000 0.49977 0.49976
  0.19500E+03  0.72416E-01  0.00000E+00 0.00000E+00  0.00036 0.00000 0.49982 0.49982
  0.20500E+03  0.72422E-01  0.00000E+00 0.00000E+00  0.00025 0.00000 0.49987 0.49987
  0.21500E+03  0.72433E-01  0.26532E-04 0.26532E-04  0.00004 0.00000 0.49998 0.49998
  0.22500E+03  0.72431E-01  0.10796E-05 0.10796E-05  0.00008 0.00000 0.49996 0.49996
  0.23500E+03  0.72431E-01  0.00000E+00 0.00000E+00  0.00008 0.00000 0.49996 0.49996
