  0.611414E+00 F
   0.1006E+00   0.9936E-01
   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00
  depth        at.density   interstit.  vacancies    atomic fractions of components
  Angs         Angs^-3      dpa         dpa
  0.50000E+01  0.67941E-01  0.16577E+01 0.19424E+01  0.00096 0.02910 0.45126 0.51868
  0.15000E+02  0.69087E-01  0.76069E+00 0.65074E+00  0.00207 0.02437 0.48535 0.48821
  0.25000E+02  0.71895E-01  0.96032E-01 0.75086E-01  0.00219 0.00335 0.49868 0.49577
  0.35000E+02  0.72252E-01  0.19014E-01 0.17190E-01  0.00303 0.00024 0.49853 0.49820
  0.45000E+02  0.72257E-01  0.11978E-01 0.11650E-01  0.00363 0.00000 0.49842 0.49795
  0.55000E+02  0.72226E-01  0.92678E-02 0.93503E-02  0.00407 0.00000 0.49779 0.49814
  0.65000E+02  0.72207E-01  0.75610E-02 0.74515E-02  0.00459 0.00000 0.49783 0.49758
  0.75000E+02  0.72247E-01  0.53042E-02 0.52486E-02  0.00375 0.00000 0.49814 0.49811
  0.85000E+02  0.72261E-01  0.41462E-02 0.40912E-02  0.00347 0.00000 0.49829 0.49824
  0.95000E+02  0.72239E-01  0.27546E-02 0.28071E-02  0.00390 0.00000 0.49804 0.49806
  0.10500E+03  0.72263E-01  0.18160E-02 0.19512E-02  0.00340 0.00000 0.49826 0.49834
  0.11500E+03  0.72293E-01  0.12847E-02 0.12364E-02  0.00283 0.00000 0.49860 0.49857
  0.12500E+03  0.72301E-01  0.12137E-02 0.10529E-02  0.00268 0.00000 0.49872 0.49861
  0.13500E+03  0.72323E-01  0.52762E-03 0.54663E-03  0.00222 0.00000 0.49888 0.49890
  0.14500E+03  0.72349E-01  0.36495E-03 0.36627E-03  0.00171 0.00000 0.49915 0.49915
  0.15500E+03  0.72366E-01  0.38460E-03 0.30610E-03  0.00137 0.00000 0.49934 0.49929
  0.16500E+03  0.72359E-01  0.15106E-03 0.17276E-03  0.00151 0.00000 0.49923 0.49926
  0.17500E+03  0.72386E-01  0.11187E-03 0.87363E-04  0.00097 0.00000 0.49953 0.49950
  0.18500E+03  0.72390E-01  0.63331E-05 0.47498E-05  0.00089 0.00000 0.49956 0.49956
  0.19500E+03  0.72403E-01  0.25969E-04 0.25969E-04  0.00062 0.00000 0.49969 0.49969
  0.20500E+03  0.72416E-01  0.16534E-05 0.16534E-05  0.00037 0.00000 0.49981 0.49981
  0.21500E+03  0.72428E-01  0.25937E-04 0.25937E-04  0.00013 0.00000 0.49994 0.49994
  0.22500E+03  0.72429E-01  0.16765E-05 0.16765E-05  0.00011 0.00000 0.49994 0.49994
  0.23500E+03  0.72430E-01  0.00000E+00 0.00000E+00  0.00008 0.00000 0.49996 0.49996
