 cpt#    psproj#  energy       directional cosines x,y,z
                  (eV)
   2           1  0.5000E+03   0.49999994E+00 -0.86602539E+00 -0.10000000E-11
   2           2  0.5000E+03   0.49999994E+00 -0.86602539E+00 -0.10000000E-11
   1           3  0.5000E+03   0.49999994E+00 -0.86602539E+00 -0.10000000E-11
   2           4  0.5000E+03   0.49999994E+00 -0.86602539E+00 -0.10000000E-11
   2           5  0.5000E+03   0.49999994E+00 -0.86602539E+00 -0.10000000E-11
   1           6  0.5000E+03   0.49999994E+00 -0.86602539E+00 -0.10000000E-11
   1           7  0.5000E+03   0.49999994E+00 -0.86602539E+00 -0.10000000E-11
   2           8  0.5000E+03   0.49999994E+00 -0.86602539E+00 -0.10000000E-11
   2           9  0.5000E+03   0.49999994E+00 -0.86602539E+00 -0.10000000E-11
   2          10  0.5000E+03   0.49999994E+00 -0.86602539E+00 -0.10000000E-11
   1          11  0.5000E+03   0.49999994E+00 -0.86602539E+00 -0.10000000E-11
   2          12  0.5000E+03   0.49999994E+00 -0.86602539E+00 -0.10000000E-11
   2          13  0.5000E+03   0.49999994E+00 -0.86602539E+00 -0.10000000E-11
   1          14  0.5000E+03   0.49999994E+00 -0.86602539E+00 -0.10000000E-11
   1          15  0.5000E+03   0.49999994E+00 -0.86602539E+00 -0.10000000E-11
   2          16  0.5000E+03   0.49999994E+00 -0.86602539E+00 -0.10000000E-11
   1          17  0.5000E+03   0.49999994E+00 -0.86602539E+00 -0.10000000E-11
   2          18  0.5000E+03   0.49999994E+00 -0.86602539E+00 -0.10000000E-11
   2          19  0.5000E+03   0.49999994E+00 -0.86602539E+00 -0.10000000E-11
   2          20  0.5000E+03   0.49999994E+00 -0.86602539E+00 -0.10000000E-11
   2          21  0.5000E+03   0.49999994E+00 -0.86602539E+00 -0.10000000E-11
   2          22  0.5000E+03   0.49999994E+00 -0.86602539E+00 -0.10000000E-11
   1          23  0.5000E+03   0.49999994E+00 -0.86602539E+00 -0.10000000E-11
   1          24  0.5000E+03   0.49999994E+00 -0.86602539E+00 -0.10000000E-11
   2          25  0.5000E+03   0.49999994E+00 -0.86602539E+00 -0.10000000E-11
   2          26  0.5000E+03   0.49999994E+00 -0.86602539E+00 -0.10000000E-11
   2          27  0.5000E+03   0.49999994E+00 -0.86602539E+00 -0.10000000E-11
   2          28  0.5000E+03   0.49999994E+00 -0.86602539E+00 -0.10000000E-11
