 cpt#    psproj# nr.coll deposition site x,y,z
                         (Angs)
   2           2   14    0.153075E+01 -0.225076E+02 -0.773655E+01
   2           5    9    0.667938E+01 -0.773809E+01 -0.693831E+01
   2           8   11    0.802061E+01 -0.177423E+02  0.587020E+01
   2           9    9    0.239168E+01 -0.109169E+02  0.578498E+01
   2          10   25    0.169666E+02 -0.384622E+02  0.753270E+01
   1          11  211    0.372359E+02  0.544543E+02  0.584278E+02
   2          13   13    0.891949E+01 -0.163373E+02 -0.289871E+01
   1          14  209    0.910889E+02 -0.908597E+02  0.362330E+02
   1          15  214    0.103357E+02 -0.561492E+02 -0.140810E+02
   1          17  230    0.836870E+02 -0.423479E+01  0.922685E+02
   2          18   11    0.394076E+01 -0.105205E+02  0.619594E+01
   2          21    7    0.813296E+01 -0.778685E+01 -0.561841E+01
   1          23  235    0.167967E+03  0.405668E+02  0.123503E+03
   1          24  214    0.123445E+03  0.253880E+02 -0.517059E+02
   2          25    6    0.672429E+01 -0.142367E+02 -0.112157E+01
   2          28   15    0.234655E+02  0.474320E+00 -0.888810E+01
   1          31  213    0.986452E+02  0.777674E+02  0.843037E+01
   2          32   17    0.187698E+02 -0.639266E+01  0.158747E+02
   2          33   16    0.926604E+01 -0.147180E+02  0.553706E+01
   1          34  220    0.113745E+03 -0.121056E+03 -0.690759E+02
   1          35  214    0.565205E+02 -0.773367E+02  0.271441E+02
   2          39   12    0.439726E+01 -0.143485E+02  0.301530E+01
   2          40   11    0.130599E+02 -0.420923E+01 -0.763710E+01
   2          41   17    0.132059E+02 -0.234708E+02 -0.368287E+01
   2          42   18    0.113715E+02 -0.136993E+02 -0.105111E+02
   2          45   16    0.116767E+01 -0.187125E+02  0.214931E+02
   2          49    7    0.550403E+01 -0.379817E+01  0.714980E+01
   1          50  229    0.342231E+02  0.507573E+02 -0.302953E+02
   1          52  227    0.117707E+03 -0.138233E+02 -0.691877E+01
   2          53   13    0.498883E+01 -0.169455E+02  0.512806E+01
   1          55  223    0.208244E+03 -0.979005E+02 -0.119266E+03
   1          56  192    0.543892E+02 -0.330876E+02 -0.846204E+01
   1          57  214    0.390081E+02 -0.113741E+03 -0.137676E+03
   2          58    9    0.168676E+01 -0.183748E+02 -0.509399E+01
   2          59   16    0.753521E+01 -0.204622E+02 -0.189346E+02
   1          65  219    0.112445E+02  0.455856E+02  0.141704E+03
   2          66   12    0.172080E+02 -0.146034E+02 -0.687475E+01
   2          67   13    0.365516E+01 -0.850987E+01  0.153416E+02
   2          69   14    0.412520E+01 -0.230973E+02  0.255124E+01
   1          72  220    0.127809E+03 -0.566338E+02  0.287812E+02
   1          75  222    0.155956E+03 -0.618249E+02  0.738172E+01
   2          78   17    0.232619E+02 -0.910575E+01  0.552445E+01
   1          82  208    0.853752E+02 -0.703748E+02 -0.332668E+02
   1          85  223    0.189054E+03  0.924595E+01 -0.249991E+02
   2          87    9    0.978165E+01 -0.131691E+02  0.548031E+01
   1          90  217    0.151877E+03 -0.901614E+01 -0.103334E+03
