   fluence          swelling(+)/shrinking(-)
   (Angs^-2)        (Angs)
   0.00000E+00       0.00000E+00
   0.10000E-01       0.39131E-01
   0.20000E-01       0.66827E-01
   0.30000E-01       0.10992E+00
   0.40000E-01       0.15126E+00
   0.50000E-01       0.19707E+00
   0.60000E-01       0.23897E+00
   0.70000E-01       0.26227E+00
   0.80000E-01       0.29303E+00
   0.90000E-01       0.32480E+00
   0.10000E+00       0.36357E+00
   0.11000E+00       0.39471E+00
   0.12000E+00       0.40085E+00
   0.13000E+00       0.43325E+00
   0.14000E+00       0.46900E+00
   0.15000E+00       0.50536E+00
   0.16000E+00       0.53740E+00
   0.17000E+00       0.55023E+00
   0.18000E+00       0.57367E+00
   0.19000E+00       0.59560E+00
   0.20000E+00       0.61141E+00
   0.21000E+00       0.64663E+00
   0.22000E+00       0.67392E+00
   0.23000E+00       0.70283E+00
   0.24000E+00       0.72535E+00
   0.25000E+00       0.74014E+00
   0.26000E+00       0.77004E+00
   0.27000E+00       0.78411E+00
   0.28000E+00       0.79842E+00
   0.29000E+00       0.81554E+00
   0.30000E+00       0.83397E+00
   0.31000E+00       0.84050E+00
   0.32000E+00       0.86599E+00
   0.33000E+00       0.88512E+00
   0.34000E+00       0.88063E+00
   0.35000E+00       0.89072E+00
   0.36000E+00       0.91863E+00
   0.37000E+00       0.94164E+00
   0.38000E+00       0.94292E+00
   0.39000E+00       0.96282E+00
   0.40000E+00       0.97797E+00
   0.41000E+00       0.98639E+00
   0.42000E+00       0.98656E+00
   0.43000E+00       0.10106E+01
   0.44000E+00       0.10110E+01
   0.45000E+00       0.10148E+01
   0.46000E+00       0.10223E+01
   0.47000E+00       0.10401E+01
   0.48000E+00       0.10433E+01
   0.49000E+00       0.10382E+01
   0.50000E+00       0.10366E+01
   0.51000E+00       0.10504E+01
   0.52000E+00       0.10693E+01
   0.53000E+00       0.10871E+01
   0.54000E+00       0.10910E+01
   0.55000E+00       0.11017E+01
   0.56000E+00       0.11297E+01
   0.57000E+00       0.11336E+01
   0.58000E+00       0.11297E+01
   0.59000E+00       0.11247E+01
   0.60000E+00       0.11119E+01
   0.61000E+00       0.11105E+01
   0.62000E+00       0.11135E+01
   0.63000E+00       0.10939E+01
   0.64000E+00       0.10792E+01
   0.65000E+00       0.10773E+01
   0.66000E+00       0.10684E+01
   0.67000E+00       0.10711E+01
   0.68000E+00       0.10745E+01
   0.69000E+00       0.10825E+01
   0.70000E+00       0.10858E+01
   0.71000E+00       0.10718E+01
   0.72000E+00       0.10866E+01
   0.73000E+00       0.10642E+01
   0.74000E+00       0.10555E+01
   0.75000E+00       0.10494E+01
   0.76000E+00       0.10334E+01
   0.77000E+00       0.10125E+01
   0.78000E+00       0.99011E+00
   0.79000E+00       0.97771E+00
   0.80000E+00       0.96148E+00
   0.81000E+00       0.93425E+00
   0.82000E+00       0.90671E+00
   0.83000E+00       0.91637E+00
   0.84000E+00       0.90240E+00
   0.85000E+00       0.90563E+00
   0.86000E+00       0.90617E+00
   0.87000E+00       0.91834E+00
   0.88000E+00       0.91498E+00
   0.89000E+00       0.89212E+00
   0.90000E+00       0.88291E+00
   0.91000E+00       0.85994E+00
   0.92000E+00       0.84969E+00
   0.93000E+00       0.84857E+00
   0.94000E+00       0.82455E+00
   0.95000E+00       0.79092E+00
   0.96000E+00       0.77070E+00
   0.97000E+00       0.76716E+00
   0.98000E+00       0.72367E+00
   0.99000E+00       0.71113E+00
   0.10000E+01       0.67369E+00
